date,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,horizon,market,date_cashflow,slice
2022-03-31,0.0,255650.4911,17272.72339663038,7945.452762449974,-5869.838969736,0.0,0.0,2075.6137927139744,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class B
2023-03-31,0.0,242375.3665,17383.860892445944,7996.576010525134,-5869.838969736,0.0,0.0,2126.737040789134,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class B
2024-03-31,0.0,223562.2201,16468.408625038166,7575.467967517556,-5869.838969736,0.0,0.0,1705.6289977815559,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class B
2025-03-31,0.0,227376.9185,16290.934044865155,7493.829660637971,-5869.838969736,-128724.53880999998,227376.9185,100276.370380902,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class B
2020-03-31,-30855.60603000001,102852.0201,0.0,0.0,0.0,0.0,0.0,-30855.60603000001,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2021-03-31,0.0,120354.9817,11762.007713843715,5410.523548368109,-3283.0364815919993,0.0,0.0,2127.4870667761097,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2022-03-31,0.0,149430.6292,13634.86605002257,6272.038383010382,-3283.0364815919993,0.0,0.0,2989.0019014183827,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2023-03-31,0.0,144722.3291,14098.713499721844,6485.408209872047,-3283.0364815919993,0.0,0.0,3202.371728280048,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2024-03-31,0.0,136402.3193,13954.305906176109,6418.98071684101,-3283.0364815919993,0.0,0.0,3135.9442352490105,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2025-03-31,0.0,140264.8758,13895.779259191537,6392.058459228107,-3283.0364815919993,-71996.41406999998,140264.8758,71377.48370763613,5 Yrs (2020-2025),"Charlotte,North Carolina",2020-03-31,Class C
2020-03-31,-129377.11026000004,431257.0342,0.0,0.0,0.0,0.0,0.0,-129377.11026000004,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
2021-03-31,0.0,454613.2566,25108.871500673813,11550.080890309953,-13765.724531663998,0.0,0.0,-2215.643641354045,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
2022-03-31,0.0,504818.8847,28952.138784966846,13317.983841084748,-13765.724531663998,0.0,0.0,-447.74069057925044,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
